Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.55789E+12,15/05/2019 4:00,ZECUSD,69.64,82.26,69.43,79.55,13520.80964
1.55781E+12,14/05/2019 4:00,ZECUSD,65.6,69.64,64.37,69.64,6163.749564
1.55772E+12,13/05/2019 4:00,ZECUSD,61.13,66.73,61.13,65.6,5218.015908
1.55763E+12,12/05/2019 4:00,ZECUSD,62.2,65.32,58.88,61.13,4209.864186
1.55755E+12,11/05/2019 4:00,ZECUSD,57.56,66.52,57.04,62.2,6872.911662
1.55746E+12,10/05/2019 4:00,ZECUSD,56.48,58.01,56.48,57.56,163.833286
1.55737E+12,09/05/2019 4:00,ZECUSD,58.32,58.32,55.18,56.48,1297.949312
1.55729E+12,08/05/2019 4:00,ZECUSD,56.7,58.56,56.7,58.32,1732.204438
1.5572E+12,07/05/2019 4:00,ZECUSD,60.76,61.02,56.1,56.7,6287.932547
1.55712E+12,06/05/2019 4:00,ZECUSD,59.23,61.32,58.29,60.76,5308.238042
1.55703E+12,05/05/2019 4:00,ZECUSD,60.4,60.78,58.49,59.23,1791.336746
1.55694E+12,04/05/2019 4:00,ZECUSD,62.16,62.16,58.11,60.4,1019.095735
1.55686E+12,03/05/2019 4:00,ZECUSD,59.04,63.04,58.77,62.16,4179.884641
1.55677E+12,02/05/2019 4:00,ZECUSD,59.78,60.27,58.66,59.04,2083.272867
1.55668E+12,01/05/2019 4:00,ZECUSD,60.64,60.95,59.08,59.78,1200.223143
1.5566E+12,30/04/2019 4:00,ZECUSD,57.25,60.8,56.51,60.64,2393.038132
1.55651E+12,29/04/2019 4:00,ZECUSD,58.7,59.02,56.08,57.25,5214.931981
1.55642E+12,28/04/2019 4:00,ZECUSD,60.38,60.82,58.55,58.7,374.8689179
1.55634E+12,27/04/2019 4:00,ZECUSD,58.8,61.29,58.8,60.38,1283.931099
1.55625E+12,26/04/2019 4:00,ZECUSD,59.32,63.49,58.8,58.8,161.7569495
1.55616E+12,25/04/2019 4:00,ZECUSD,65.07,65.8,58.98,59.32,3871.29853
1.55608E+12,24/04/2019 4:00,ZECUSD,67.12,67.12,62.43,65.07,2090.35527
1.55599E+12,23/04/2019 4:00,ZECUSD,69.77,71.12,66.42,67.12,3560.187101
1.55591E+12,22/04/2019 4:00,ZECUSD,67.18,70.65,66.93,69.77,1428.625551
1.55582E+12,21/04/2019 4:00,ZECUSD,69.03,69.03,66.82,67.18,1025.877265
1.55573E+12,20/04/2019 4:00,ZECUSD,70.1,70.41,67.17,69.03,4591.471516
1.55565E+12,19/04/2019 4:00,ZECUSD,69.94,70.65,69.45,70.1,226.7762781
1.55556E+12,18/04/2019 4:00,ZECUSD,72.2,72.2,69.48,69.94,2768.4772
1.55547E+12,17/04/2019 4:00,ZECUSD,69.23,72.2,68,72.2,3545.527776
1.55539E+12,16/04/2019 4:00,ZECUSD,67.58,70.11,67.04,69.23,1167.006666
1.5553E+12,15/04/2019 4:00,ZECUSD,69.9,70.29,65.79,67.58,2020.79975
1.55521E+12,14/04/2019 4:00,ZECUSD,68.54,70.72,67.53,69.9,802.9244655
1.55513E+12,13/04/2019 4:00,ZECUSD,71.54,71.71,68.42,68.54,701.4811603
1.55504E+12,12/04/2019 4:00,ZECUSD,68.14,71.54,68.14,71.54,12.28966971
1.55496E+12,11/04/2019 4:00,ZECUSD,68.8,70.53,64.03,68.14,3343.659471
1.55487E+12,10/04/2019 4:00,ZECUSD,72.53,74.61,67.81,68.8,4260.472001
1.55478E+12,09/04/2019 4:00,ZECUSD,70.59,73.01,69.76,72.53,1047.696972
1.5547E+12,08/04/2019 4:00,ZECUSD,73.5,74.88,70.59,70.59,3579.596051
1.55461E+12,07/04/2019 4:00,ZECUSD,71.26,76.76,70.76,73.5,6411.608023
1.55452E+12,06/04/2019 4:00,ZECUSD,71.26,73.32,68.75,71.26,3126.851259
1.55444E+12,05/04/2019 4:00,ZECUSD,67.58,72.81,67.58,71.26,9079.283101
1.55435E+12,04/04/2019 4:00,ZECUSD,68.5,71.18,64.85,67.58,4216.438634
1.55426E+12,03/04/2019 4:00,ZECUSD,73.51,77.99,66.7,68.5,21303.30655
1.55418E+12,02/04/2019 4:00,ZECUSD,60.46,75,60.46,73.51,20261.3203
1.55409E+12,01/04/2019 4:00,ZECUSD,60.69,63.49,60.16,60.46,6601.008696
1.554E+12,31/03/2019 4:00,ZECUSD,57.29,61.2,57.29,60.69,5094.185583
1.55392E+12,30/03/2019 4:00,ZECUSD,56.16,57.35,55.32,57.29,1277.80584
1.55383E+12,29/03/2019 4:00,ZECUSD,55.73,57.56,55.73,56.16,267.9320923
1.55375E+12,28/03/2019 4:00,ZECUSD,55.93,56.65,55,55.73,1471.832284
1.55366E+12,27/03/2019 4:00,ZECUSD,55.02,57,54.68,55.93,2132.008755
1.55357E+12,26/03/2019 4:00,ZECUSD,54.77,55.29,52.44,55.02,2924.833827
1.55349E+12,25/03/2019 4:00,ZECUSD,56.6,56.6,53.8322462,54.77,3367.442812
1.5534E+12,24/03/2019 4:00,ZECUSD,57.24,57.78,56.07,56.6,846.1623003
1.55331E+12,23/03/2019 4:00,ZECUSD,55.46,57.8,54.91,57.24,1606.588992
1.55323E+12,22/03/2019 4:00,ZECUSD,54.59,55.82,54.59,55.46,268.3598719
1.55314E+12,21/03/2019 4:00,ZECUSD,57.35,58.2,54.01,54.59,5428.659937
1.55305E+12,20/03/2019 4:00,ZECUSD,55.14,61.56,55.12,57.35,8851.495653
1.55297E+12,19/03/2019 4:00,ZECUSD,53.82,56.69,53.82,55.14,4657.393707
1.55288E+12,18/03/2019 4:00,ZECUSD,54.32,54.32,52.61,53.82,1580.732358
1.5528E+12,17/03/2019 4:00,ZECUSD,53.16,54.5,52.6,54.32,1176.10318
1.55271E+12,16/03/2019 4:00,ZECUSD,53.7,54.8,53,53.16,3662.165483
1.55262E+12,15/03/2019 4:00,ZECUSD,52.11,53.8,52,53.7,3602.573837
1.55254E+12,14/03/2019 4:00,ZECUSD,50.6,52.66,49.99,52.11,4762.274854
1.55245E+12,13/03/2019 4:00,ZECUSD,52.11,52.39,50.42,50.6,490.6507836
1.55236E+12,12/03/2019 4:00,ZECUSD,48.34,52.86,48.01,52.11,6507.689448
1.55228E+12,11/03/2019 4:00,ZECUSD,50.09,50.09,48.31,48.34,3111.923979
1.55219E+12,10/03/2019 4:00,ZECUSD,50.75,50.75,49.15,50.09,207.3051731
1.5521E+12,09/03/2019 4:00,ZECUSD,49.11,51.98,48.92,50.75,1560.398213
1.55202E+12,08/03/2019 4:00,ZECUSD,49.73,50.3,47.48,49.11,3825.942206
1.55193E+12,07/03/2019 4:00,ZECUSD,50.09,50.33,49.52,49.73,1732.710173
1.55184E+12,06/03/2019 4:00,ZECUSD,49.4,50.5,49.15,50.09,1390.199188
1.55176E+12,05/03/2019 4:00,ZECUSD,48.11,50.89,47.69,49.4,3240.074425
